sampleid,db_id,program_id,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips
"USUDMT32221",1,90,"Guilford County","NC","North Carolina","22mar2021","unknown","unknown","unused","DMT",0,0,0,0,0,0,0,0,1,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"300731",546,28,"Randolph County","NC","North Carolina","02nov2022","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"29nov2022",16,10,,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,"NC | RANDOLPH COUNTY",37,151,37151
"300735",547,28,"Randolph County","NC","North Carolina","17nov2022","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","stronger; more down","stronger",,,,1,,,,,,,"overdoses","involved in OD",1,,,0,"29nov2022",5,3,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | RANDOLPH COUNTY",37,151,37151
"400180",548,153,"Buncombe County","NC","North Carolina","23nov2022","spatula","spatula","taken","MDA",0,0,0,0,0,0,0,0,1,"off-white",0,"crystals",,,,,1,"","long; hallucinations; weird","",1,1,,,,1,,,,,"","not overdose related",0,,,0,"29nov2022",2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400116",549,153,"Buncombe County","NC","North Carolina","23nov2022","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"29nov2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400142",550,153,"Buncombe County","NC","North Carolina","23nov2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"01dec2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400135",551,153,"Buncombe County","NC","North Carolina","22nov2022","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"29nov2022",8,6,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400112",552,153,"Buncombe County","NC","North Carolina","23nov2022","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"29nov2022",6,2,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400196",553,153,"Buncombe County","NC","North Carolina","23nov2022","cotton","cotton","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"01dec2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400177",569,153,"Buncombe County","NC","North Carolina","30nov2022","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"05dec2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400123",570,153,"Buncombe County","NC","North Carolina","29nov2022","cotton","cotton","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"05dec2022",7,4,,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400156",571,153,"Buncombe County","NC","North Carolina","25nov2022","cotton","cotton","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"",0,"",,,,,,"","stronger","stronger",,,,,,,,,,,"","involved in OD",1,,,0,"05dec2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400184",572,153,"Buncombe County","NC","North Carolina","25nov2022","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"",,,,,,"","stronger","stronger",,,,,,,,,,,"","not overdose related",0,,,0,"05dec2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400161",573,155,"Guilford County","NC","North Carolina","28nov2022","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","stronger","stronger",,,,,,,,,,,"","not overdose related",0,,,0,"08dec2022",4,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"400157",574,155,"Forsyth County","NC","North Carolina","14nov2022","swab","swab","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","nice; more up","",,,1,,1,,,,,,"","not overdose related",0,,,0,"07dec2022",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | FORSYTH COUNTY",37,67,37067
"400101",575,155,"Forsyth County","NC","North Carolina","23nov2022","cotton","cotton","taken","fentanyl; methamphetamine",1,1,0,1,0,1,0,0,0,"yellow",1,"crystals; powder",,,1,,1,"","weaker","weaker",,,,,,,,,,,"meth + fent mixed together. Meth was weaker","not overdose related",0,,,0,"07dec2022",5,5,,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"400165",576,155,"Forsyth County","NC","North Carolina","23nov2022","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; flaky",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"03jan2023",2,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"400293",607,35,"Pitt County","NC","North Carolina","10dec2022","syringe","syringe","taken","fentanyl",1,1,0,0,0,0,0,0,0,"gray",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"04jan2023",2,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | PITT COUNTY",37,147,37147
"300893",623,52,"Madison County","NC","North Carolina","13dec2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","weaker; weird; unpleasant","weaker",1,,,,,,,,,,"salty-taste, vein injury","not overdose related",0,,,1,"04jan2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | MADISON COUNTY",37,115,37115
"300863",624,52,"Buncombe County","NC","North Carolina","13dec2022","unknown","unknown","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","weaker; normal","weaker",,,,,,,,,,,"","not overdose related",0,,,1,"04jan2023",4,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"300858",625,52,"Buncombe County","NC","North Carolina","10dec2022","unknown","unknown","taken","fentanyl; unknown",1,1,0,0,0,0,0,0,0,"white",0,"powder; dull; chunky",,,1,,,"dull","weaker; more up; normal","weaker",,,1,1,,,,,,,"it's not really, made me nod at all","unknown",,,,1,"05jan2023",3,3,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"300891",626,52,"Buncombe County","NC","North Carolina","13dec2022","swab","swab","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; shiny",,,1,,,"shiny","nice; stronger","stronger",,,,,1,,,,,,"","not overdose related",0,,,1,"04jan2023",3,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"300667",627,78,"New Hanover County","NC","North Carolina","15nov2022","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"light brown",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,,"","unknown",,,,0,"05jan2023",9,1,,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | NEW HANOVER COUNTY",37,129,37129
"400182",628,76,"Wake County","NC","North Carolina","14dec2022","swab","swab","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; flaky",,,1,,,"","long; more down","stronger",,,,1,,1,,,,,"nice, strong, potent","involved in OD",1,,,0,"06jan2023",4,2,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | WAKE COUNTY",37,183,37183
"300786",641,73,"Durham County","NC","North Carolina","30nov2022","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"green",1,"",,,,,,"","","",,,,,,,,,,,"causing hardening of injection site","not overdose related",0,,,0,"10jan2023",3,3,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | DURHAM COUNTY",37,63,37063
"300237",642,155,"Forsyth County","NC","North Carolina","21sep2022","swab","swab","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"sticky; powder; chunky",,,1,,,"","weaker; more up","weaker",,,1,,,,,,,,"some anxiety","not overdose related",0,,,0,"06jan2023",7,3,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300219",643,155,"Forsyth County","NC","North Carolina","07oct2022","swab","swab","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,0,"11jan2023",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300202",644,155,"Forsyth County","NC","North Carolina","03oct2022","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300200",645,155,"Forsyth County","NC","North Carolina","13sep2022","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"powder",,,1,,,"","unpleasant; stronger","stronger",1,,,,,,,,,,"","involved in OD",1,,,0,"06jan2023",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300235",646,155,"Forsyth County","NC","North Carolina","05dec2022","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",3,3,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300229",647,155,"Forsyth County","NC","North Carolina","05dec2022","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"yellow",1,"powder; chunky",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",5,4,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"400279",655,153,"Buncombe County","NC","North Carolina","13dec2022","cotton","cotton","unused","fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"06jan2023",5,4,,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400261",656,153,"Buncombe County","NC","North Carolina","27dec2022","spatula","spatula","unused","mescaline",0,0,0,0,0,0,0,0,0,"off-white; green",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"04jan2023",2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400211",657,153,"Buncombe County","NC","North Carolina","27dec2022","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,0,"04jan2023",2,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400299",658,153,"Buncombe County","NC","North Carolina","27dec2022","spatula","spatula","unused","ketamine",0,0,0,0,0,0,0,0,1,"clear; white",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"04jan2023",3,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400276",659,153,"Buncombe County","NC","North Carolina","27dec2022","swab","swab","taken","ketamine",0,0,0,0,0,0,0,0,1,"white",0,"crystals",,,,,1,"","stronger","stronger",,,,,,1,,,,,"lasts too long","not overdose related",0,,,0,"04jan2023",3,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400294",660,153,"Buncombe County","NC","North Carolina","27dec2022","spatula","spatula","taken","MDA",0,0,0,0,0,0,0,0,1,"",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"04jan2023",2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400289",666,153,"Buncombe County","NC","North Carolina","30dec2022","swab","swab","unused","fentanyl",1,1,0,0,0,0,0,0,0,"brown; white",0,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400232",667,153,"Buncombe County","NC","North Carolina","30dec2022","cotton","cotton","unused","fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",8,5,,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400291",668,153,"Buncombe County","NC","North Carolina","30dec2022","swab","swab","unused","fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"400213",669,153,"Buncombe County","NC","North Carolina","30dec2022","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"06jan2023",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | BUNCOMBE COUNTY",37,21,37021
"300353",699,96,"Gaston County","NC","North Carolina","04jan2023","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"gray; white",0,"powder; chunky",,,1,,,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,0,"10jan2023",6,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GASTON COUNTY",37,71,37071
"300317",700,96,"Gaston County","NC","North Carolina","04jan2023","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; chunky",,,1,,,"","more up","",,,1,,,,,,,,"","not overdose related",0,,,0,"10jan2023",7,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GASTON COUNTY",37,71,37071
"300365",701,96,"Gaston County","NC","North Carolina","01nov2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","weaker","weaker",,,,,,,,,,,"much weaker","not overdose related",0,,,0,"11jan2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GASTON COUNTY",37,71,37071
"300515",702,96,"Gaston County","NC","North Carolina","08nov2022","pill","pill","unused","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"pill",,1,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"10jan2023",4,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GASTON COUNTY",37,71,37071
"300306",703,96,"Catawba County","NC","North Carolina","29nov2022","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"light green; white",1,"powder; chunky",,,1,,,"","unpleasant","",1,,,,,,1,,,,"heart burn","involved in OD",1,,,0,"10jan2023",5,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | CATAWBA COUNTY",37,35,37035
"300392",704,96,"Catawba County","NC","North Carolina","28nov2022","pill","pill","taken","unknown",0,0,0,0,0,0,0,0,0,"white",0,"fake pill",,1,,,,"","stronger","stronger",,,,,,,,,,,"","unknown",,,,0,"10jan2023",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | CATAWBA COUNTY",37,35,37035
"300823",705,9,"Surry County","NC","North Carolina","19dec2022","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"tan",0,"powder",,,1,,,"","unpleasant","",1,,,,,,,,,,"chest pain","unknown",,,,0,"10jan2023",3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"NC | SURRY COUNTY",37,171,37171
"300827",706,9,"Surry County","NC","North Carolina","16dec2022","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","stronger","stronger",,,,,,,,,,,"","involved in OD",1,,,0,"11jan2023",5,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | SURRY COUNTY",37,171,37171
"400244",707,35,"Pitt County","NC","North Carolina","07jan2023","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"12jan2023",2,2,,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | PITT COUNTY",37,147,37147
"400266",708,35,"Pitt County","NC","North Carolina","07jan2023","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"11jan2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | PITT COUNTY",37,147,37147
"400290",709,35,"Pitt County","NC","North Carolina","07jan2023","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"11jan2023",5,1,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | PITT COUNTY",37,147,37147
"300661",712,165,"Surry County","NC","North Carolina","09jan2023","cotton","cotton","taken","unknown",0,0,1,0,0,0,0,0,0,"white",0,"hard; powder",,,1,,,"","nice","",,,,,1,,,,,,"Does it contain xylazine?","not overdose related",0,,,0,"13jan2023",6,2,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | SURRY COUNTY",37,171,37171
"300209",737,155,"Forsyth County","NC","North Carolina","28dec2022","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","more down; normal","normal",,,,1,,,,,,,"","not overdose related",0,,,0,"27jan2023",10,6,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"NC | FORSYTH COUNTY",37,67,37067
"400113",738,155,"Forsyth County","NC","North Carolina","21dec2022","unknown","unknown","unused","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"27jan2023",4,3,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"400104",739,155,"Forsyth County","NC","North Carolina","21dec2022","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"yellow; white",1,"powder",,,1,,,"","normal","normal",,,,1,,,,,,,"makes me sleepy","not overdose related",0,,,0,"27jan2023",6,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | FORSYTH COUNTY",37,67,37067
"300429",777,128,"Macon County","NC","North Carolina","03dec2022","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"clear",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"31jan2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | MACON COUNTY",37,113,37113
"300441",778,128,"Cherokee County","NC","North Carolina","16jan2023","cotton","cotton","unused","fentanyl",1,1,0,0,0,0,0,0,0,"purple",1,"",,,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"01feb2023",10,8,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"NC | CHEROKEE COUNTY",37,39,37039
